Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua 1124;R$ 1.200.000;126;3;5;2
Rua 146;R$ 3.800.000;268;4;5;3
Rua 146;R$ 1.490.000;137;3;4;2
Rua 1122;R$ 399.000;77;3;2;1
Rua 146;R$ 1.160.000;142;3;4;2
Rua 15;R$ 449.000;45;1;1;1
Rua 143;R$ 1.450.000;114;3;4;2
;R$ 785.100;82;3;3;1
Rua 1124;R$ 1.500.000;125;3;4;2
Rua 1128;R$ 1.190.000;119;3;5;2
Avenida T 9;R$ 2.650.000;469;4;7;4
Rua 1124;R$ 1.570.000;125;3;4;2
Rua 1124;R$ 1.650.000;125;3;4;2
Rua 1138;R$ 990.000;72;2;2;1
Rua T 53;R$ 539.000;57;2;2;1
;R$ 858.000;84-86;2;3;1
;R$ 1.100.000;115;3;5;2
Rua 1128;R$ 1.400.000;139;3;4;2
Rua 146;R$ 1.934.631;160-171;3;4-5;2-3
Rua 1141;R$ 820.000;78;2;3;1
Rua 135;R$ 849.000;76;2;2;1
Rua 1123;R$ 1.200.000;127;3;4;2
Rua 146;R$ 1.200.000;140;3;4;2
Rua 24;R$ 499.000;61;1;2;1
Rua 145;R$ 1.200.000;131;3;5;3
Rua 1141;R$ 2.290.000;256;4;6;3
Rua 135;R$ 840.000;76;2;3;2
Rua 15;R$ 450.000;45;1;1;2
;R$ 3.573.000;244-245;4;5-6;3
Rua 24;R$ 1.770.000;160;3;4;3
Rua T 55;R$ 827.476;79;2;3;1
Rua 147;R$ 1.350.000;115;3;4;2
Rua 1123;R$ 590.000;61;2;2;1
Rua 24;R$ 898.822;82;2;2-3;1
Rua 146;R$ 900.000;95;3;4;2
Rua 1132;R$ 1.600.000;130;3;4;2
Rua 1138;R$ 750.000;70;2;3;1
Rua 1128;R$ 1.023.011;90;2;3;2
Rua 147;R$ 959.000;115;3;4;2
Rua 1125;R$ 2.268.000;171-204;3;3-4;2-3
Rua 24;R$ 742.715;63-66;2;1-2;1
Avenida Edmundo Pinheiro de Abreu;R$ 567.900;78;3;2;2
Rua 1138;R$ 850.000;71;2;3;1
;R$ 1.300.000;130;3;4;2
Avenida 136;R$ 545.000;48;1;2;0
Rua 1132;R$ 1.340.000;134;3;5;2
Rua 137-A;R$ 804.906;83;2;2;1
Alameda Ricardo Paranhos;R$ 3.590.000;265;3;2;4
Rua 135;R$ 1.500.000;159;3;5;2
Rua 1141;R$ 1.079.000;120;3;4;2
Rua 146;R$ 649.000;49;1;2;1
Alameda Coronel Joaquim de Bastos;R$ 875.762;62;2;2;1
Rua 146;R$ 813.000;73;2;2;1
Rua 1123;R$ 950.000;87;3;2;2
;R$ 682.000;65;2;3;1
Rua 145;R$ 1.395.000;138;3;5;2
Rua 1124;R$ 1.490.000;125;3;1-2;2
Rua 1124;R$ 1.495.000;125;3;4;2
Rua 24;R$ 710.000;67;2;2;2
Viela 1140;R$ 820.000;72;2;3;1
Rua 137;R$ 860.000;96;3;4;2
Rua 147;R$ 1.368.400;114;3;4;2
Rua 1124;R$ 1.525.000;125;3;4;2
Rua 137-A;R$ 762.000;83-89;2-3;2-3;1-2
Alameda Ricardo Paranhos;R$ 520.000;47;1;1;1
Rua 1128;R$ 771.500;80;3;1;1
Rua 146;R$ 1.445.000;139;3;4;2
Rua T 53;R$ 710.000;60;2;3;2
Rua 1123;R$ 1.354.000;110;3;1;2
Rua 28;R$ 1.310.716;114;3;4;2
Rua 147;R$ 960.000;114-117;3;2-5;1-2
Rua 38;R$ 1.120.000;129-130;3;3-4;2
Rua 1128;R$ 950.000;104;3;1;2
Rua 137-A;R$ 799.000;86;2;3;1
Rua Mário Bittar;R$ 999.900;100;3;4;2
Rua 146;R$ 1.450.000;137;3;7;2
Rua 145;R$ 1.500.000;130;3;4;3
Rua 1141;R$ 799.962;81;2;2;1
Rua 138;R$ 1.200.000;130;3;4;3
Rua 140;R$ 841.251;77;2;3;1
Rua 1128;R$ 1.650.000;167;3;3;3
Rua 146;R$ 1.450.000;140;3;5;2
Rua 1138;R$ 950.000;81;2;3;1
Rua 146;R$ 1.280.000;137;3;4;2
Rua 140;R$ 498.553;40;1;1;1
Rua 1128;R$ 858.000;80;3;4;2
Rua 135;R$ 527.000;49;1;1;0
Rua 1128;R$ 1.000.000;104;3;4;2
Rua 147;R$ 1.000.000;115;3;4;2
Rua 146;R$ 1.400.000;140;3;5;2
